time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-2,major,[],[],D0,5,4.0
3/4,2,-2,major,Bb,major,C0,5,8.0
3/4,2,-2,major,Bb,major,Bb,4,2.0
3/4,2,-2,major,Bb,major,F0,4,2.0
3/4,3,-2,major,Bb,major,D0,4,8.0
3/4,3,-2,major,Bb,major,Bb,4,4.0
3/4,4,-2,major,C0,minor,A0,4,8.0
3/4,4,-2,major,C0,minor,G0,4,4.0
3/4,5,-2,major,C0,minor,C0,4,8.0
3/4,5,-2,major,C0,minor,D0,4,4.0
3/4,6,-2,major,F0,dominant,Eb,4,8.0
3/4,6,-2,major,F0,dominant,F0,4,2.0
3/4,6,-2,major,F0,dominant,A0,4,2.0
3/4,7,-2,major,F0,dominant,D0,5,8.0
3/4,7,-2,major,F0,dominant,C0,5,4.0
3/4,8,-2,major,Bb,major,F0,4,8.0
3/4,8,-2,major,Bb,major,F0,4,4.0
3/4,9,-2,major,F0,dominant,F0,4,8.0
3/4,9,-2,major,F0,dominant,F0,4,4.0
3/4,10,-2,major,C0,dominant,G0,4,8.0
3/4,10,-2,major,C0,dominant,F#,4,2.0
3/4,10,-2,major,C0,dominant,G0,4,2.0
3/4,11,-2,major,C0,dominant,C0,5,4.0
3/4,11,-2,major,C0,dominant,Bb,4,4.0
3/4,11,-2,major,C0,dominant,G0,4,4.0
3/4,12,-2,major,Bb,major,F0,4,8.0
3/4,12,-2,major,Bb,major,G0,4,4.0
3/4,13,-2,major,D0,dominant,A0,4,8.0
3/4,13,-2,major,D0,dominant,Bb,4,4.0
3/4,14,-2,major,C0,dominant,D0,5,8.0
3/4,14,-2,major,C0,dominant,C0,5,2.0
3/4,14,-2,major,C0,dominant,Bb,4,2.0
3/4,15,-2,major,C0,dominant,A0,4,8.0
3/4,15,-2,major,C0,dominant,G0,4,4.0
3/4,16,-2,major,F0,dominant,C0,5,12.0
3/4,17,-2,major,F0,dominant,C0,5,4.0
3/4,17,-2,major,F0,dominant,rest,0,4.0
3/4,17,-2,major,F0,dominant,D0,5,4.0
3/4,18,-2,major,Bb,major,C0,5,8.0
3/4,18,-2,major,Bb,major,Bb,4,2.0
3/4,18,-2,major,Bb,major,F0,4,2.0
3/4,19,-2,major,Bb,major,D0,4,4.0
3/4,19,-2,major,Bb,major,F0,4,4.0
3/4,19,-2,major,Bb,major,Bb,4,4.0
3/4,20,-2,major,C0,minor,A0,4,8.0
3/4,20,-2,major,C0,minor,G0,4,4.0
3/4,21,-2,major,C0,minor,C0,4,8.0
3/4,21,-2,major,C0,minor,C0,4,2.0
3/4,21,-2,major,C0,minor,D0,4,2.0
3/4,22,-2,major,F0,dominant,Eb,4,4.0
3/4,22,-2,major,F0,dominant,F0,4,4.0
3/4,22,-2,major,F0,dominant,A0,4,4.0
3/4,23,-2,major,A0,dominant,C0,5,8.0
3/4,23,-2,major,A0,dominant,C#,5,4.0
3/4,24,-2,major,D0,dominant,D0,5,8.0
3/4,24,-2,major,D0,dominant,D0,5,4.0
3/4,25,-2,major,D0,dominant,D0,5,8.0
3/4,25,-2,major,D0,dominant,D0,5,2.0
3/4,25,-2,major,D0,dominant,D0,5,2.0
3/4,26,-2,major,C0,dominant,C0,5,4.0
3/4,26,-2,major,C0,dominant,B0,4,4.0
3/4,26,-2,major,C0,dominant,C0,5,4.0
3/4,27,-2,major,C0,dominant,G0,4,8.0
3/4,27,-2,major,C0,dominant,A0,4,2.0
3/4,27,-2,major,C0,dominant,Bb,4,2.0
3/4,28,-2,major,Bb,major,F0,4,8.0
3/4,28,-2,major,Bb,major,Bb,4,4.0
3/4,29,-2,major,Bb,major,D0,5,8.0
3/4,29,-2,major,Bb,major,F0,4,2.0
3/4,29,-2,major,Bb,major,F#,4,2.0
3/4,30,-2,major,C0,dominant,G0,4,8.0
3/4,30,-2,major,C0,dominant,A0,4,2.0
3/4,30,-2,major,C0,dominant,Bb,4,2.0
3/4,31,-2,major,C0,dominant,A0,4,8.0
3/4,31,-2,major,C0,dominant,G0,4,4.0
3/4,32,-2,major,F0,dominant,C0,5,12.0
3/4,33,-2,major,F0,dominant,C0,5,8.0
3/4,33,-2,major,F0,dominant,F0,4,4.0
3/4,34,-2,major,Bb,major,D0,5,8.0
3/4,34,-2,major,Bb,major,C#,5,2.0
3/4,34,-2,major,Bb,major,D0,5,2.0
3/4,35,-2,major,Bb,major,Bb,4,8.0
3/4,35,-2,major,Bb,major,A0,4,2.0
3/4,35,-2,major,Bb,major,Bb,4,2.0
3/4,36,-2,major,C0,minor,C0,5,8.0
3/4,36,-2,major,C0,minor,Eb,4,4.0
3/4,37,-2,major,C0,minor,G0,4,8.0
3/4,37,-2,major,C0,minor,C0,5,4.0
3/4,38,-2,major,F0,dominant,D0,5,8.0
3/4,38,-2,major,F0,dominant,C0,5,2.0
3/4,38,-2,major,F0,dominant,A0,4,2.0
3/4,39,-2,major,F0,dominant,Eb,4,8.0
3/4,39,-2,major,F0,dominant,C0,5,4.0
3/4,40,-2,major,Bb,major,Bb,4,12.0
3/4,41,-2,major,Bb,major,Bb,4,8.0
3/4,41,-2,major,Bb,major,F0,4,2.0
3/4,41,-2,major,Bb,major,F#,4,2.0
3/4,42,-2,major,Eb,major,G0,4,8.0
3/4,42,-2,major,Eb,major,G0,4,4.0
3/4,43,-2,major,C0,dominant,C0,5,8.0
3/4,43,-2,major,C0,dominant,Bb,4,2.0
3/4,43,-2,major,C0,dominant,G0,4,2.0
3/4,44,-2,major,Bb,major,F0,4,8.0
3/4,44,-2,major,Bb,major,G0,4,4.0
3/4,45,-2,major,C0,diminished,A0,4,8.0
3/4,45,-2,major,C0,diminished,Bb,4,4.0
3/4,46,-2,major,C0,dominant,D0,5,8.0
3/4,46,-2,major,C0,dominant,C0,5,2.0
3/4,46,-2,major,C0,dominant,Bb,4,2.0
3/4,47,-2,major,C0,dominant,A0,4,8.0
3/4,47,-2,major,C0,dominant,G0,4,4.0
3/4,48,-2,major,F0,dominant,C0,5,12.0
3/4,49,-2,major,F0,dominant,C0,5,8.0
3/4,49,-2,major,F0,dominant,F0,4,4.0
3/4,50,-2,major,Bb,major,D0,5,8.0
3/4,50,-2,major,Bb,major,C#,5,2.0
3/4,50,-2,major,Bb,major,D0,5,2.0
3/4,51,-2,major,Bb,major,Bb,4,8.0
3/4,51,-2,major,Bb,major,A0,4,2.0
3/4,51,-2,major,Bb,major,Bb,4,2.0
3/4,52,-2,major,C0,minor,C0,5,8.0
3/4,52,-2,major,C0,minor,Eb,4,4.0
3/4,53,-2,major,C0,minor,G0,4,8.0
3/4,53,-2,major,C0,minor,C0,5,4.0
3/4,54,-2,major,F0,dominant,D0,5,8.0
3/4,54,-2,major,F0,dominant,C0,5,2.0
3/4,54,-2,major,F0,dominant,A0,4,2.0
3/4,55,-2,major,F0,dominant,Eb,4,8.0
3/4,55,-2,major,F0,dominant,C0,5,4.0
3/4,56,-2,major,Bb,major,Bb,4,12.0
3/4,57,-2,major,Bb,major,Bb,4,8.0
3/4,57,-2,major,Bb,major,F0,4,2.0
3/4,57,-2,major,Bb,major,F#,4,2.0
3/4,58,-2,major,Eb,major,G0,4,8.0
3/4,58,-2,major,Eb,major,F#,4,2.0
3/4,58,-2,major,Eb,major,G0,4,2.0
3/4,59,-2,major,C0,dominant,C0,5,8.0
3/4,59,-2,major,C0,dominant,Bb,4,2.0
3/4,59,-2,major,C0,dominant,G0,4,2.0
3/4,60,-2,major,Bb,major,F0,4,8.0
3/4,60,-2,major,Bb,major,Bb,4,4.0
3/4,61,-2,major,Bb,major,D0,5,8.0
3/4,61,-2,major,Bb,major,F0,4,2.0
3/4,61,-2,major,Bb,major,F#,4,2.0
3/4,62,-2,major,C0,dominant,G0,4,8.0
3/4,62,-2,major,C0,dominant,A0,4,2.0
3/4,62,-2,major,C0,dominant,Bb,4,2.0
3/4,63,-2,major,F0,dominant,D0,5,8.0
3/4,63,-2,major,F0,dominant,C0,5,4.0
3/4,64,-2,major,Bb,major,Bb,4,12.0
3/4,65,-2,major,Bb,major,Bb,4,8.0
3/4,65,-2,major,Bb,major,rest,0,4.0
